### Bootcamp/09_Lipid_Metabolism  [376]  <Bootcamp::Biochemistry::09_Lipid_Metabolism>
LcGDaz+DZW	What is the effect of hypoglycemia and starvation on growth hormone secretion ? [Increased]
oSQI`!|9cH	In the cytosol, malate may be converted to pyruvate via the enzyme [ malic enzyme ] (fatty acid synthesis)
j~V9}wo3Y#	Conversion of malate to pyruvate via malic enzyme produces a molecule of [NADPH] (fatty acid synthesis)
LI/@xCD9-/	Fatty acid synthesis predominantly occurs in the [liver], [lactating mammary] glands (women), and [adipose] tissue
wfH+)zC0kj	The first step of fatty acid synthesis is transport of [citrate] from the mitochondria to the cytosol through its shuttle
o2g_@x[*##	In the cytosol , [citrate] is metabolized into [acetyl-CoA] and [oxaloacetate] via [ ATP citrate lyase ] as part of fatty acid synthesis
I`=(v&7I!Q	Acetyl-CoA is converted to [ malonyl-CoA ] via the enzyme [ acetyl-CoA carboxylase ] (fatty acid synthesis)
y&OfOC+DC!	Acetyl-CoA carboxylase requires [ATP], [biotin], and [CO 2 ]
LzmOcN`8WN	Malonyl-CoA may be converted to [ palmitate ] via the enzyme [ fatty acid synthase ]
uUec:<aJpz	Which enzyme of the fatty acid synthesis pathway utilizes NADPH ? [Fatty acid synthase]
Ndc=AMqtBg	Palmitate is a(n) [16]-carbon fatty acid
oC#a86~-(L	What two fatty acids are essential in humans? [Linoleic acid (omega-6) and linolenic acid (omega-3)]
bo-b`@%OoL	Fatty Acid Nomenclature : C18:2 (9,12) is a(n) [18]-carbon fatty acid with [ two ] double bonds
qAI{lL{(xI	In naturally occurring fatty acids , double bonds are in the [ cis ] configuration
pj{!7+W?#e	When membrane phospholipids are in the [ trans ] configuration, they cause decreased membrane fluidity
s]x_>!v_w[	Are fatty acids polar or non-polar? [Non-polar]
jF}^l!?kbB	Is glycerol polar or non-polar? [Polar]
CCgzzTD1RL	Are triglycerides polar or non-polar? [Non-polar]
w&uhyIZ3v;	What type of bond exists between fatty acids and glycerol (e.g., triglycerides)? [Ester bonds]
QpI|ys+ElB	What type of enzyme cleaves triglyceride ester bonds? [Lipases]
j]aUGB7(B^	What is the purpose of converting cholesterol into cholesteryl ester ? [More space-efficient (anhydrous)]
eOhB-eFGq:	[Lipoproteins] are a physical complex of lipids and proteins ( apoproteins )
j;~=<lf19&	Apolipoprotein [A-1] is an activator of the enzyme [ lecithin cholesterol acyltransferase (LCAT)]
Ed/~w{MB`O	Apolipoprotein A-1 is a major component of [high density] lipoprotein
GQ<)`YM}4K	Apo B -[ 48 ] is found only on particles originating from the intestines , whereas Apo B -[ 100 ] is found only on particles originating fro
D5E(UTaXU<	Apolipoprotein E may be found on every lipoprotein except [LDL]
P(B3nK(j^d	Apolipoprotein [C-II] is a cofactor and activator of the enzyme [ lipoprotein lipase (LPL)]
NG^7UcyOfj	Which four lipoproteins is apolipoprotein C-II found on? [HDL, IDL*, VLDL, and chylomicrons]
G&.bCUoiR~	Apolipoprotein [B-48] mediates [ chylomicron ] secretion by the intestines
o^[zcRoaVt	Which lipoprotein is apolipoprotein B-48 found on? [Chylomicrons (and their remnants)]
NF7$@[:R[G	Apolipoprotein [B-100] binds the [ LDL ] receptor on the liver
f4$$lC:`eI	Which three lipoproteins is apolipoprotein B-100 found on? [VLDL, IDL, and LDL]
qfPCgo`}p[	The intestines package [ triglycerides ] and [ cholesteryl esters ] into [chylomicrons] , which initially enter the lymph
vM:Dd]g_b&	In the lymph , chylomicrons only express apolipoprotein [ B-48 ]
l-qJNUd2ZC	From the lymph , chylomicrons enter the [blood] via the thoracic duct
n_yR4f@Ngb	In the blood , chylomicrons pick up apolipoprotein [C-II] and [E] from circulating [HDL]
CtUO.hhTJ%	Once in the vicinity of adipocytes , apolipoprotein [ C-II ] on the chylomicron activates the enzyme [ lipoprotein lipase (LPL)]
CsN!I2:&o4	The triglycerides inside the chylomicron are broken down into [ fatty acids ] by lipoprotein lipase in the vicinity of the adipocytes (or pe
QS>>dK+QfA	Once inside the adipocyte , fatty acids are reconverted into [ triglycerides ]
jvu*zUypgK	As triglycerides are removed from the chylomicron , the chylomicron shrinks , forming a(n) [chylomicron remnant]
N^?:(t??r-	The chylomicron remnant expresses only apolipoprotein [ B-48 ] and apolipoprotein [ E ] on its surface
On(4^A$J{|	What happens to apolipoprotein C-II on the chylomicron as it forms a chylomicron remnant ? [Recycled back to HDL]
sdjjIIqcP-	The liver packages [ triglycerides ] and [ cholesterol ] into [ VLDLs ], which enter the blood
Q@UPq@Ez,(	Initially , VLDLs only express apolipoprotein [ B-100 ]
gol1C}<=:Z	What is the main component of VLDL ? [Triglycerides (60%)]
AUn+[t=M+z	In the blood , VLDLs pick up apolipoprotein [ C-II ] and [ E ] from circulating [ HDL ]
lQw/}b[TI;	Once in the vicinity of adipocytes , apolipoprotein [ C-II ] on the VLDL activates the enzyme [ lipoprotein lipase (LPL) ]
P,a)`h(1yc	The triglycerides inside the VLDL are broken down into [ fatty acids ] by lipoprotein lipase in the vicinity of the adipocytes (or periphera
ORwV0}lL:k	As triglycerides are removed from the VLDLs , the VLDL shrinks , forming [IDL]
wINZ<jo.|R	The IDL expresses apolipoprotein [ B-100 ] and apolipoprotein [ E ] on its surface
rn$|,D$c24	What eventually happens to apolipoprotein C-II on the VLDL after it forms an IDL ? [Recycled back to HDL]
D{b.{0MMex	Once in the vicinity of the liver , the IDL may directly bind a(n) [ LDL ] receptor via apolipoprotein B-100
Go$O|pn2nd	Further removal of triglycerides from IDL , via the enzyme [ hepatic triglyceride lipase ], leads to the formation of [ LDL ]
kPxSelq>XT	LDL only expresses a single copy of apolipoprotein [ B-100 ] on its surface
b!Si2cI<(D	Which two organs produce nascent HDL ? [Liver and intestines]
f^TOgwu5fa	The enzyme [ LCAT ] may convert cholesterol to cholesteryl ester in the blood in the presence of apolipoprotein [ A-1 ] (found on HDL)
D@:1sYj+>+	Cholesteryl ester inside of mature HDL may be transferred to VLDL, IDL, or LDL via the enzyme [ cholesteryl ester transfer protein (CETP)]
zmN^#2yXr!	Which enzyme is responsible for the degradation of triglycerides in the small intestine ? [Pancreatic lipase]
o{wdS0Vp,)	Which lipid transport enzyme is responsible for the degradation of triglycerides in the chylomicrons and VLDLs ? [Lipoprotein lipase (LPL)]
q!CT~=boHb	Lipoprotein lipase (LPL) is regulated via positive feedback by [ insulin ] and [ apolipoprotein C-II ]
KT1ZxTxBw_	Which lipid transport enzyme is responsible for the degradation of remaining triglycerides in IDLs and chylomicron remnants ? [Hepatic trigl
HhFsEqme2e	Which lipid transport enzyme is responsible for the degradation of triglycerides stored in adipocytes ? [Hormone-sensitive lipase]
Ls;X]_7[Yq	Which lipoproteins carry the most cholesterol ? [LDL and HDL]
r+jE[&Hl(G	Which lipoprotein is secreted by intestinal epithelial cells and delivers dietary triglycerides to peripheral tissue ? [Chylomicrons]
h9MT2X/z/%	Which lipoprotein is secreted by the liver and delivers hepatic TGs to peripheral tissue ? [VLDL]
eu?YS36|58	Which lipoprotein is formed by the degradation of VLDL and delivers TGs and cholesterol to the liver ? [IDL]
p!dbho!$Bg	Which lipoprotein is formed by modification of IDL and delivers hepatic cholesterol to peripheral tissue ? [LDL]
dj<6f3~Xv=	Which lipoprotein mediates reverse cholesterol transport from the periphery to the liver ? [HDL]
b%}<fY2wF>	Which lipoprotein is a repository for apolipoproteins C-II and E ? [HDL]
dW:OLtX#fZ	The LDL-containing clathrin-coated pits fuse with [ lysosomes ], which break down cholesteryl esters into cholesterol
KfU)CHc%`:	What happens to most of the endocytosed LDL receptors ? [Recycled to cell membrane]
MT!e6_tPQW	Increased levels of cholesterol inside the hepatocyte leads to [ decreased ] activity of the enzyme [ HMG-CoA reductase ]
vO7q~b)@{*	The precipitated cholesterol in blood vessels may be picked up by [ HDL ] and esterified to cholesteryl ester
yjEM!*%`C$	Type [ I ] hyperlipoproteinemia is also known as [ familial hyperchylomicronemia ]
oEiQ|>$mI&	What is the mode of inheritance of type I hyperlipoproteinemia ? [Autosomal recessive]
q;BEP5cDpo	Type [ I ] lipoproteinemia is due to a(n) [ LPL ] or [ apo C-II ] deficiency
lT4h,eI7cY	Which serum lipoprotein is elevated in type I hyperlipoproteinemia ? [Chylomicrons]
C/!_B^~nH9	Which serum lipids are elevated in type I hyperlipoproteinemia ? [ Triglycerides and cholesterol]
s,4g.sio^H	Type [ I ] hyperlipoproteinemia commonly presents with red-orange [ eruptive/pruritic xanthomas ]
kUz!/_,.,.	Which type of familial dyslipidemia is associated with pancreatitis and hepatosplenomegaly ? [Type I (hyperchylomicronemia)]
oVR2CxEk}c	Does type I familial dyslipidemia cause an increased risk for atherosclerosis ? [No]
EsI-iZ+Cw<	Type [ I ] familial dyslipidemia is characterized by a(n) "[creamy]" layer in supernatant
g;h,z*b=vT	Type [ IIa ] familial dyslipidemia is also known as [ familial hypercholesterolemia ]
fE_o3Qmh%K	What is the mode of inheritance of type II familial dyslipidemia ? [Autosomal dominant]
yfJZwO8jcq	Type [ IIa ] familial dyslipidemia is due to either: - Absent or defective [ LDL receptors ] - Defective [ apo B-100 ]
q^pVVLi&P&	Which serum lipoprotein is elevated in type IIa familial dyslipidemia ? [LDL]
Huy!P-)?.R	Which serum lipid is elevated in type IIa familial dyslipidemia ? [Cholesterol]
t(&s4=0c*d	Type [ IIa ] familial dyslipidemia commonly presents with tendinous [ xanthomas ], especially on the [ Achilles ] tendon
tW:LAsL48S	Which type of familial dyslipidemia is associated with corneal arcus ? [Type II (familial hypercholesterolemia)]
e=eA7%Wx4=	Does type IIa familial dyslipidemia cause an increased risk for atherosclerosis ? [Yes, accelerated atherosclerosis may cause MI before age 
zH{ehfv`(i	Patients with heterozygous familial hypercholesterolemia (1:500) have cholesterol levels of ~ [300] mg/dL
pEpPmp?jw&	Patients with homozygous familial hypercholesterolemia (very rare) have cholesterol levels of ~ [700+] mg/dL
m_NR1,n6G/	Type [ IV ] familial dyslipidemia is also known as [ familial hypertriglyceridemia ]
NRf:pOCWjs	What is the mode of inheritance of type IV familial dyslipidemia ? [Autosomal dominant]
D$d}B(N:Lj	Type [ IV ] familial dyslipidemia is due to hepatic overproduction of [ VLDL ]
pK9F4bt5%d	Which serum lipoprotein is elevated in type IV familial dyslipidemia ? [VLDL]
PPDqiKQ>jY	Which serum lipid is elevated in type IV familial dyslipidemia ? [Triglycerides]
l9^PcNd|q>	Patients with type IV familial dyslipidemia often have triglyceride levels around [ 200 ] to [ 500 ] mg/dL, which typically is not enough to
P!z~o3)2?&	Cholesterol synthesis begins with [acetyl-CoA]
r+`.O8WW{V	Where in the cell does cholesterol synthesis occur? [Cytoplasm]
ML~cmE_%_0	What is the rate-limiting enzyme for cholesterol synthesis ? [HMG-CoA reductase]
zYN*<=/}Z3	HMG-CoA reductase is regulated via positive feedback by [ insulin ] and [ thyroxine (T 4 ) ]
Ik;}YK+<t]	HMG-CoA reductase is regulated via negative feedback by [ glucagon ] and [ cholesterol ]
zmHtISRl%f	HMG-CoA is converted to [ mevalonate ] via the enzyme [ HMG-CoA reductase ] (cholesterol synthesis)
m2D}a]9a,]	HMG-CoA reductase requires two molecules of [NADPH]
FU)hO1h15V	What substance is the primary regulator of membrane fluidity ? [Cholesterol]
ngB#|.a><?	What substance is the precursor to bile acids , steroids , and vitamin D ? [Cholesterol]
KZNZ(0LIS!	What % of plasma cholesterol is esterified by the enzyme LCAT ? [67% (2/3rds)]
ukIPa~+{KQ	What class of drugs inhibits the enzyme HMG-CoA reductase ? [Statins]
Du&FZyp$Ex	Statins are [ competitive ] [ reversible ] inhibitors of HMG-CoA reductase
zO;eo}i&6y	In adipose tissue, triglycerides are broken down into glycerol and fatty acids by the enzyme [ hormone-sensitive lipase ]
Ls2g-oLNva	Hormone sensitive lipase is induced by [ epinephrine ], [ glucagon ], and [ cortisol ]
NKE^S(plx2	Hormone sensitive lipase is regulated via negative feedback by [ insulin ]
PkKv<Ny;SA	Glycerol , from triglyceride breakdown , travels to the liver and is converted to glucose via the process of [gluconeogenesis]
wu!536*ysX	Fatty acids , from triglyceride breakdown , are broken down into acetyl-CoA via the process of [ β-oxidation ]
NYiv.KBRlK	In preparation for β-oxidation, fatty acids in the cytosol are converted to [ fatty acyl-CoA ] via the enzyme [ fatty acyl-CoA synthetase ]
IMW%ASW*.w	In the intermembrane space , fatty acyl-CoA is converted to [ fatty acyl-carnitine ] via the enzyme [ carnitine palmitoyltransferase 1 (CPT1
tf&[aM?,9?	What is the rate-limiting enzyme of fatty acid β-oxidation ? [Carnitine palmitoyl transferase-1 (CPT-1)]
se8y43gfIe	Where in the cell does β-oxidation occur? [Mitochondria]
I_?i*b[)Wr	Carnitine acyltransferase-1 (CAT1) is regulated via negative feedback by [ malonyl-CoA ]
evQ?N]cCh_	Fatty acyl-carnitine is transported from the intermembrane space into the mitochondrial matrix via the [ carnitine ] transporter
Ja2$)IOJU(	Fatty acyl-carnitine is converted into [ fatty acyl-CoA ] via the enzyme [ carnitine palmitoyl transferase 2 (CPT2)]
C`zKzo}I!;	Fatty acyl-CoA is broken down into molecules of [ acetyl-CoA ] via the enzyme [ fatty acyl-CoA dehydrogenase ] (β-oxidation)
m8A{UZ9;>+	Each cycle of β-oxidation produces [ one ] molecule(s) of FADH 2 and [ one ] molecule(s) of NADH
HuSD-TyDEW	The acetyl-CoA generated through β-oxidation is used for [ ketogenesis ] (liver) or the [ TCA cycle ]
ff(2qB=#f?	[ Primary carnitine ] deficiency is an inherited defect in the transport of long chain fatty acids into the mitochondria
hOAr1>WrYd	Primary carnitine deficiency is characterized by muscle weakness and hypotonia , which is provoked by prolonged [exercise] ( especially if f
C2]eBOL_V{	Primary carnitine deficiency may present with [ myoglobin ] uria
oTtx0Gh6?$	Muscle biopsy of a patient with primary carnitine deficiency shows elevated [ triglycerides ]
Jd+xUP*pe8	[ Medium chain acyl-CoA dehydrogenase (MCAD) ] deficiency is characterized by an inability to break down medium-sized fatty acids
Kn|WDR<zKW	What is the mode of inheritance of medium chain acyl-CoA dehydrogenase (MCAD) deficiency ? [Autosomal recessive]
FC,k>RdIk<	[ Medium chain acyl-CoA dehydrogenase (MCAD)] deficiency is characterized by the accumulation of [ 6 ] to [ 12 ] -carbon acyl carnitines in 
d8@2hu>O&/	Medium chain acyl-CoA dehydrogenase (MCAD) deficiency and primary carnitine deficiency are characterized by [ hypo ] ketotic [ hypo ] glycem
L:`<tc7FDZ	[ Medium chain acyl-CoA dehydrogenase (MCAD) ] deficiency may cause [ dicarboxylic ] acidemia/aciduria due to omega oxidation of fatty acids
I*26+{Ezw/	Which type of acyl-CoA dehydrogenase is used to breakdown 6-12 carbon fatty acyl-CoA ? [Medium (medium chain acyl-CoA dehydrogenase)]
x6FK)MURVt	Medium chain acyl-CoA dehydrogenase (MCAD) deficiency may present in infancy or early childhood with [vomiting], hyper[ammon]emia, lethargy,
ls>mf@jI#H	Treatment for medium chain acyl-CoA dehydrogenase (MCAD) deficiency includes avoiding [ fasting ]
zNKP>#)43-	Where in the cell does ketogenesis occur? [Mitochondria]
o+D41fWGhp	In which organ does ketogenesis occur? [Liver]
FN`J;4O3|~	What is the rate-limiting enzyme of ketogenesis ? [HMG-CoA synthase]
L~Zvy_1>yY	What are the three ketone bodies ? [ Acetoacetate ] [ β-hydroxybutyrate ] [ Acetone ]
o,O]2o`N~:	Ketogenesis begins with [ acetyl-CoA ], which is provided by β-oxidation of fatty acids
qNV_9ftG@F	Acetoacetyl-CoA is converted to [ HMG-CoA ] via the enzyme [ HMG-CoA synthase ] (ketogenesis)
j[r&z8E9CX	HMG-CoA may be converted to [ acetoacetate ] via the enzyme HMG-CoA lyase (ketogenesis)
x#&^$^[=>/	Acetoacetate may spontaneously be converted to [ acetone ], which is expired in the lungs
zuEl:/z4@_	In the liver , acetoacetate may be converted to [ β-hydroxybutyrate ], which then travels to extrahepatic tissues (ketone body metabolism)
D)Hc0@c+d!	In extrahepatic tissues, β-hydroxybutyrate may be converted back to [ acetoacetate ] via the enzyme β-hydroxybutyrate dehydrogenase
